Column_Data_00
    step      time[sec]       Fx[04]        Fy[04]        Fz[04]
     225   3.750000e+01   6.0588e-04   -2.2616e-09    0.0000e+00
     226   3.766666e+01   6.4374e-04   -3.7962e-09    0.0000e+00
     227   3.783334e+01   6.7843e-04   -1.6154e-09    0.0000e+00
     228   3.800000e+01   7.0953e-04    3.7962e-09    0.0000e+00
     229   3.816667e+01   7.3665e-04   -2.1000e-09    0.0000e+00
     230   3.833334e+01   7.5955e-04   -3.8770e-09    0.0000e+00
     231   3.850000e+01   7.7801e-04   -5.6539e-10    0.0000e+00
     232   3.866667e+01   7.9190e-04    2.5039e-09    0.0000e+00
     233   3.883334e+01   8.0115e-04   -4.2000e-09    0.0000e+00
     234   3.900000e+01   8.0570e-04   -3.3923e-09    0.0000e+00
     235   3.916667e+01   8.0549e-04    4.0385e-09    0.0000e+00
     236   3.933334e+01   8.0071e-04   -1.1308e-09    0.0000e+00
     237   3.950000e+01   7.9135e-04   -4.0385e-10    0.0000e+00
     238   3.966667e+01   7.7769e-04   -1.5346e-09    0.0000e+00
     239   3.983334e+01   7.5994e-04    1.4539e-09    0.0000e+00
     240   4.000000e+01   7.3842e-04    2.1808e-09    0.0000e+00
     241   4.016667e+01   7.1350e-04    1.6154e-10    0.0000e+00
     242   4.033333e+01   6.8551e-04    1.6154e-09    0.0000e+00
     243   4.050000e+01   6.5487e-04   -1.6154e-09    0.0000e+00
     244   4.066667e+01   6.2205e-04   -1.4539e-09    0.0000e+00
     245   4.083333e+01   5.8747e-04   -1.8577e-09    0.0000e+00
     246   4.100000e+01   5.5161e-04    4.8462e-10    0.0000e+00
     247   4.116667e+01   5.1498e-04    3.3923e-09    0.0000e+00
     248   4.133333e+01   4.7804e-04   -1.0500e-09    0.0000e+00
     249   4.150000e+01   4.4129e-04   -3.2308e-10    0.0000e+00
     250   4.166666e+01   4.0514e-04    3.3923e-09    0.0000e+00
     251   4.183333e+01   3.7008e-04    4.2000e-09    0.0000e+00
     252   4.200000e+01   3.3651e-04    4.0385e-09    0.0000e+00
     253   4.216666e+01   3.0478e-04    3.0693e-09    0.0000e+00
     254   4.233334e+01   2.7525e-04    3.9577e-09    0.0000e+00
     255   4.250000e+01   2.4823e-04    3.3116e-09    0.0000e+00
     256   4.266667e+01   2.2403e-04    9.7732e-09    0.0000e+00
     257   4.283334e+01   2.0282e-04    2.3423e-09    0.0000e+00
     258   4.300000e+01   1.8479e-04    4.3616e-09    0.0000e+00
     259   4.316667e+01   1.7002e-04    6.7847e-09    0.0000e+00
     260   4.333334e+01   1.5854e-04    3.3116e-09    0.0000e+00
     261   4.350000e+01   1.5037e-04    3.9173e-09    0.0000e+00
     262   4.366667e+01   1.4545e-04    5.1693e-09    0.0000e+00
     263   4.383334e+01   1.4360e-04    6.2193e-09    0.0000e+00
     264   4.400000e+01   1.4475e-04    6.7039e-09    0.0000e+00
     265   4.416667e+01   1.4865e-04    8.1578e-09    0.0000e+00
     266   4.433334e+01   1.5509e-04    1.0460e-08    0.0000e+00
     267   4.450000e+01   1.6385e-04    7.0674e-09    0.0000e+00
     268   4.466667e+01   1.7456e-04    1.1712e-08    0.0000e+00
     269   4.483333e+01   1.8693e-04    1.0500e-08    0.0000e+00
     270   4.500000e+01   2.0062e-04    1.0985e-08    0.0000e+00
     271   4.516667e+01   2.1528e-04    1.0036e-08    0.0000e+00
     272   4.533333e+01   2.3055e-04    9.3693e-09    0.0000e+00
     273   4.550000e+01   2.4607e-04    1.0621e-08    0.0000e+00
     274   4.566667e+01   2.6149e-04    1.0308e-08    0.0000e+00
     275   4.583333e+01   2.7643e-04    1.0207e-08    0.0000e+00
     276   4.600000e+01   2.9056e-04    1.1227e-08    0.0000e+00
     277   4.616666e+01   3.0355e-04    1.1712e-08    0.0000e+00
     278   4.633333e+01   3.1511e-04    1.1011e-08    0.0000e+00
     279   4.650000e+01   3.2495e-04    1.0341e-08    0.0000e+00
     280   4.666666e+01   3.3283e-04    1.0364e-08    0.0000e+00
     281   4.683334e+01   3.3853e-04    1.0207e-08    0.0000e+00
     282   4.700000e+01   3.4188e-04    9.7530e-09    0.0000e+00
     283   4.716667e+01   3.4274e-04    9.8741e-09    0.0000e+00
     284   4.733334e+01   3.4101e-04    9.3693e-09    0.0000e+00
     285   4.750000e+01   3.3662e-04    1.0056e-08    0.0000e+00
     286   4.766667e+01   3.2956e-04    9.6520e-09    0.0000e+00
     287   4.783334e+01   3.1984e-04    1.1449e-08    0.0000e+00
     288   4.800000e+01   3.0752e-04    9.7530e-09    0.0000e+00
     289   4.816667e+01   2.9269e-04    6.7847e-09    0.0000e+00
     290   4.833334e+01   2.7551e-04    9.2482e-09    0.0000e+00
     291   4.850000e+01   2.5613e-04    7.9155e-09    0.0000e+00
     292   4.866667e+01   2.3477e-04    8.0366e-09    0.0000e+00
     293   4.883334e+01   2.1165e-04    6.1789e-09    0.0000e+00
     294   4.900000e+01   1.8704e-04    8.5212e-09    0.0000e+00
     295   4.916667e+01   1.6122e-04    6.9058e-09    0.0000e+00
     296   4.933333e+01   1.3448e-04    8.8443e-09    0.0000e+00
     297   4.950000e+01   1.0712e-04    9.0463e-09    0.0000e+00
     298   4.966667e+01   7.9478e-05    9.6116e-09    0.0000e+00
